timeOpen;timeClose;timeHigh;timeLow;name;open;high;low;close;volume;marketCap;timestamp
"2024-06-04T00:00:00.000Z";"2024-06-04T23:59:59.999Z";"2024-06-04T23:59:00.000Z";"2024-06-04T09:55:00.000Z";"2781";164.9250591058;171.8168184425;164.5155349746;171.8019205191;2057558426.33;78995382868.04;"2024-06-04T23:59:59.999Z"
"2024-06-03T00:00:00.000Z";"2024-06-03T23:59:59.999Z";"2024-06-03T20:16:00.000Z";"2024-06-03T00:41:00.000Z";"2781";163.2501533406;167.0387594059;161.8537191555;164.9234645191;2182487608.38;75832425371.39;"2024-06-03T23:59:59.999Z"
"2024-06-02T00:00:00.000Z";"2024-06-02T23:59:59.999Z";"2024-06-02T01:35:00.000Z";"2024-06-02T18:06:00.000Z";"2781";166.0296149597;166.9154816834;161.6532450639;163.2499076498;1562269040.72;75044190328.88;"2024-06-02T23:59:59.999Z"
"2024-06-01T00:00:00.000Z";"2024-06-01T23:59:59.999Z";"2024-06-01T15:43:00.000Z";"2024-06-01T00:01:00.000Z";"2781";165.6377187438;167.7370841302;165.5856157508;166.0306756959;1058869940.72;76322878066.52;"2024-06-01T23:59:59.999Z"
"2024-05-31T00:00:00.000Z";"2024-05-31T23:59:59.999Z";"2024-05-31T12:40:00.000Z";"2024-05-31T16:22:00.000Z";"2781";166.9765379039;170.6315681406;163.9330872885;165.6377103351;2415920333.3;76097773563.92;"2024-05-31T23:59:59.999Z"
"2024-05-30T00:00:00.000Z";"2024-05-30T23:59:59.999Z";"2024-05-30T17:43:00.000Z";"2024-05-30T08:16:00.000Z";"2781";168.0726766674;172.4177926799;163.6839672952;166.9765379039;2932316784.2;76744933958.32;"2024-05-30T23:59:59.999Z"
"2024-05-29T00:00:00.000Z";"2024-05-29T23:59:59.999Z";"2024-05-29T06:31:00.000Z";"2024-05-29T12:41:00.000Z";"2781";168.6508408587;173.6419461017;167.3238511883;168.0726766674;2852496247.63;77250412381.11;"2024-05-29T23:59:59.999Z"
"2024-05-28T00:00:00.000Z";"2024-05-28T23:59:59.999Z";"2024-05-28T13:28:00.000Z";"2024-05-28T04:37:00.000Z";"2781";169.996144846;173.0171421229;164.9734055236;168.6508408587;3342283018.58;77496700584.34;"2024-05-28T23:59:59.999Z"
"2024-05-27T00:00:00.000Z";"2024-05-27T23:59:59.999Z";"2024-05-27T17:17:00.000Z";"2024-05-27T00:01:00.000Z";"2781";163.3509088571;171.9885451973;163.3354471268;169.996144846;2745440475.22;76416188372.82;"2024-05-27T23:59:59.999Z"
"2024-05-26T00:00:00.000Z";"2024-05-26T23:59:59.999Z";"2024-05-26T00:00:00.000Z";"2024-05-26T21:34:00.000Z";"2781";168.437639873;168.4392656491;161.2638725131;163.3509088571;2543881488.42;73410229629.36;"2024-05-26T23:59:59.999Z"
"2024-05-25T00:00:00.000Z";"2024-05-25T23:59:59.999Z";"2024-05-25T11:13:00.000Z";"2024-05-25T01:04:00.000Z";"2781";167.7969266074;170.3550523691;166.1130061388;168.437639873;1875205754.68;75697208304.93;"2024-05-25T23:59:59.999Z"
"2024-05-24T00:00:00.000Z";"2024-05-24T23:59:59.999Z";"2024-05-24T00:01:00.000Z";"2024-05-24T08:28:00.000Z";"2781";175.9857777768;176.0314820169;162.8658947267;167.7969266074;4013502064.5;75389730984.57;"2024-05-24T23:59:59.999Z"
"2024-05-23T00:00:00.000Z";"2024-05-23T23:59:59.999Z";"2024-05-23T21:46:00.000Z";"2024-05-23T20:10:00.000Z";"2781";176.8631119086;180.1652763859;167.4036902436;175.9857777768;5117258939.76;79070139294.69;"2024-05-23T23:59:59.999Z"
"2024-05-22T00:00:00.000Z";"2024-05-22T23:59:59.999Z";"2024-05-22T16:13:00.000Z";"2024-05-22T04:47:00.000Z";"2781";178.1156720323;183.0676693035;175.4474662451;176.8607811832;3833758536.46;79437309085.43;"2024-05-22T23:59:59.999Z"
"2024-05-21T00:00:00.000Z";"2024-05-21T23:59:59.999Z";"2024-05-21T00:28:00.000Z";"2024-05-21T19:44:00.000Z";"2781";186.5195209383;188.4938346861;174.7117064944;178.1161569106;4568414163.28;80000969543.29;"2024-05-21T23:59:59.999Z"
"2024-05-20T00:00:00.000Z";"2024-05-20T23:59:59.999Z";"2024-05-20T20:01:00.000Z";"2024-05-20T01:38:00.000Z";"2781";170.0913547301;187.4471207685;168.0304459605;186.5204897272;4636864705.4;83768041175.26;"2024-05-20T23:59:59.999Z"
"2024-05-19T00:00:00.000Z";"2024-05-19T23:59:59.999Z";"2024-05-19T05:17:00.000Z";"2024-05-19T15:17:00.000Z";"2781";172.5392064839;175.1893286328;166.7326134124;170.0913547301;2300080450.52;76356164592.96;"2024-05-19T23:59:59.999Z"
"2024-05-18T00:00:00.000Z";"2024-05-18T23:59:59.999Z";"2024-05-18T10:13:00.000Z";"2024-05-18T00:34:00.000Z";"2781";169.5305535338;175.7790920851;168.9330580638;172.5391322879;2479657643.33;77455466322.44;"2024-05-18T23:59:59.999Z"
